,0,1
716,34524,76441
717,34524,88498
718,34524,93868
719,34524,110432
720,34524,126927
721,34524,264409
722,94873,290741
723,57677,13701
724,57677,365
725,57677,264409
726,57677,91206
727,57677,21327
728,57677,21635
729,57677,20778
730,17350,45077
731,17350,359498
732,17350,375669
733,17350,388025
734,17350,62205
735,17350,361981
736,17350,387502
737,17350,4769
738,17350,187068
739,17350,94873
740,17350,227976
741,17350,301995
742,93131,340879
743,93131,84602
744,93131,16551
745,93131,16296
746,93131,31418
747,93131,359498
748,93131,169974
749,209382,15355
750,209382,135554
751,20803,138084
752,20803,233065
753,20803,73428
754,20803,39462
755,20803,511985
756,20803,31308
757,20803,62278
758,20803,90578
759,20803,233899
760,20803,15355
761,20803,2724
762,20803,76433
763,20803,15784
764,20803,4769
765,20803,20991
766,20803,129934
767,20803,553652
768,20803,23190
769,20803,65651
770,20803,31409
771,20803,124832
772,20803,12865
773,20803,167403
774,20803,212167
775,20803,37381
776,20803,232392
777,20803,2020
778,20803,281479
779,20803,15368
780,20803,3
781,20803,64544
782,20803,175892
783,20803,3466
784,20803,47819
785,20803,12984
786,20803,34586
787,20803,37146
788,20803,21635
789,20803,13701
790,20803,21327
791,20803,365
792,20803,52977
793,20803,19879
794,20803,401884
795,169974,290589
796,169974,310425
797,169974,20778
798,169974,91206
799,169974,330729
800,169974,96260
801,169974,93131
802,478911,21635
803,478911,513356
804,193413,253953
805,193413,564754
806,193413,595411
807,193413,575007
808,193413,282671
809,193413,109735
810,193413,15368
811,193413,15028
812,193413,362519
813,193413,369818
814,193413,64497
815,193413,319519
816,193413,63576
817,193413,20803
818,193413,37146
819,193413,56807
820,193413,582053
821,193413,148057
822,193413,353991
823,193413,421632
824,193413,18153
825,193413,374579
826,193413,585690
827,193413,371289
828,193413,79627
829,193413,42830
830,193413,309142
831,193413,585031
832,193413,250228
833,193413,584977
834,193413,132659
835,193413,31650
836,193413,556033
837,193413,48786
838,193413,311449
839,193413,164987
840,193413,581837
841,193413,49585
842,193413,140745
843,193413,312992
844,193413,511328
845,193413,338904
846,193413,175892
847,193413,195925
848,193413,143237
849,193413,176810
850,193413,3
851,193413,76433
852,193413,92194
853,193413,101171
854,417203,427814
855,417203,422606
856,417203,466329
857,417203,462806
858,417203,471545
859,417203,433465
860,417203,264409
861,417203,14559
