,label,times
542,塞尔维亚,2
543,NBA,2
544,彬的梦日记,2
545,忍者龙剑传,2
546,鬼灭之刃,2
547,半泽直树,2
548,JOJO的奇妙冒险,2
549,CG技术,2
550,城市猎人,2
551,恶魔人,2
552,图像小说,2
553,兽娘动物园,2
554,人文社科\地域文化\中国,2
555,塞勒姆,2
556,读书,2
557,扎古,2
558,Z高达,2
559,乐队,2
560,博尔赫斯,2
561,爱伦·坡,2
562,啤酒,2
563,精酿啤酒,2
564,游戏收藏,2
565,心跳回忆,2
566,逆转裁判,2
567,虚幻引擎5,2
568,制作与开发\引擎技术,2
569,纪录片,2
570,废土,2
571,游戏理论,2
572,游戏研究,2
573,古畑任三郎,2
574,骑士,2
575,MMORPG,2
576,微软,2
577,SSD,2
578,手柄,2
579,世嘉土星,2
580,卡牌游戏,2
581,CRPG,2
582,AVG,2
583,菲利普·K·迪克,2
584,汉化,2
585,本地化,2
586,RTS,2
587,健康,2
588,麻枝准,2
589,高达模型,2
590,生化危机3,2
591,强袭魔女,2
592,手表,2
593,紫罗兰永恒花园,2
594,紫罗兰永恒花园外传：永远与自动书记人形,2
595,星之卡比,2
596, NES,2
597,神秘故事,2
598,剧情,2
599,脑机接口,2
600,波普艺术,2
601,装饰艺术,2
602,蒸汽朋克,2
603,我们与恶的距离,2
604,独立游戏ECHO,2
605,妖怪,2
606,火星,2
607,回到未来,2
608,日本沉没2020,2
609,RPG游戏,2
610,赛博朋克2020,2
611,赛博朋克 红,2
612,悬疑,2
613,外星人,2
614,博物馆,2
615,巫术,2
616,解谜游戏,2
617,女性向,2
618,Clock Zero,2
619,初音未来,2
620,文化 ,2
621,Google Stadia,2
622,视觉小说,2
623,迪斯科,2
624,战双帕弥什,2
625,战棋,2
626,Infinity,2
627,比海更深,2
628,同人游戏,2
629,射击游戏,2
630,决斗,2
631,排球少年,2
632,艺术性,2
633,格斗游戏,2
634,彩虹小马,2
635,萨满,2
636,圣地巡礼,2
637,日剧推荐,2
638,武士,2
639,神力科莎,2
640,刺客信条,2
641,语言学,2
642,逆模因,2
643,樱花大战,2
644,神经漫游者,2
645,vr设备,2
646,壁纸,2
647,剖开您是我的荣幸,2
648,恶魔之魂,2
649,随机性,2
650,怪形,2
651,剧本创作,2
652,盯鞋音乐,2
653,Shoegazing,2
654,最终幻想8,2
655,数独,2
656,日本电影,2
657,回合制,2
658,电台,2
659,希亚·拉博夫,2
660,游戏铁盒,2
661,特种部队,2
662,阴阳师,2
663,全球超自然联盟,1
664,玛娜慈善基金会,1
665,伯尔尼公约,1
666,CC协议,1
667,产业\发行与运营,1
668,尼采,1
669,Spark 图一乐,1
670,抖音,1
671,DARLING in the FRANXX,1
672,加速器,1
673,松活弹抖,1
674,闪电鞭,1
675,假面骑士 英雄寻忆,1
676,岛屿生存者,1
677,暴雪,1
678,女神装置,1
679,adv,1
680,坂口拓,1
681,狂武藏,1
682,纸片马力欧,1
683,宇宙机器人 搜救行动,1
684,Frame Arms,1
685,美少女战士,1
686,铁血战士,1
687,猫眼三姐妹,1
688,Pokémon HOME,1
689,WF,1
